Geneid,SRR31110490,SRR31110491,SRR31110500,SRR31110501,SRR31110510,SRR31110511,SRR31110520,SRR31110521,SRR31110528,SRR31110533,SRR31110538,SRR31110543
ENSG00000142611,208,236,198,132,347,143,198,295,273,637,203,528
ENSG00000284616,2,0,18,6,0,0,0,1,1,16,0,4
ENSG00000157911,45,50,92,27,75,46,51,71,58,100,29,141
ENSG00000260972,0,0,24,10,0,0,0,0,0,26,0,5
ENSG00000224340,0,2,2,0,4,2,0,0,2,4,2,0
ENSG00000229280,0,0,3,10,0,0,0,0,0,12,0,4
ENSG00000142655,76,104,80,49,167,64,73,91,199,108,101,91
ENSG00000232596,2,1,37,27,0,2,0,5,3,37,2,18
ENSG00000231510,0,0,1,1,0,0,0,0,1,7,0,0
ENSG00000149527,172,207,235,132,715,286,120,232,339,243,357,260
ENSG00000171621,117,78,89,44,97,27,48,103,207,74,71,128
ENSG00000272235,24,19,54,33,26,16,22,27,14,80,34,48
ENSG00000284694,0,4,23,19,6,2,4,0,0,40,0,8
ENSG00000224387,3,4,13,9,8,2,7,1,1,12,8,4
ENSG00000142583,123,154,66,31,328,101,120,207,277,135,61,471
ENSG00000284674,4,0,11,7,0,0,0,6,0,35,0,8
ENSG00000224338,2,0,6,8,0,0,0,0,0,4,0,6
ENSG00000287727,12,14,62,42,52,6,12,26,18,56,20,25
ENSG00000173614,82,58,36,24,78,30,43,80,127,76,63,103
ENSG00000215720,0,2,15,8,2,6,2,6,4,18,4,9
ENSG00000241326,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233623,10,5,24,7,14,3,2,6,19,10,6,7
ENSG00000204624,49,41,93,46,243,105,25,49,57,160,110,118
ENSG00000142606,12,9,43,11,14,12,10,17,6,76,0,40
ENSG00000225931,0,0,18,12,4,0,0,0,2,17,0,12
ENSG00000171729,26,28,10,24,38,24,26,38,32,42,18,51
ENSG00000229393,3,7,12,8,13,2,1,6,5,14,13,0
ENSG00000287586,44,40,69,49,126,46,42,79,30,52,59,40
ENSG00000227169,2,0,8,2,0,0,1,0,0,4,0,0
ENSG00000283356,0,0,0,0,2,0,0,0,0,0,0,1
ENSG00000157916,234,216,102,58,341,130,197,272,381,160,247,321
ENSG00000157881,159,129,113,65,297,96,85,169,248,130,224,154
ENSG00000225387,0,0,4,2,0,2,0,0,0,9,2,0
ENSG00000048707,3373,3346,960,583,4454,1812,2639,4382,5302,2056,4002,3936
ENSG00000225196,0,0,4,6,1,0,0,2,2,4,2,2
ENSG00000162444,18,20,14,4,9,6,21,30,43,13,18,20
ENSG00000279625,0,0,16,20,2,0,2,0,0,12,0,6
ENSG00000180758,16,8,59,19,6,6,10,12,3,62,16,28
ENSG00000184677,363,304,319,166,858,334,289,482,803,462,602,701
ENSG00000285833,0,0,0,0,2,0,0,0,0,2,0,0
ENSG00000131697,218,265,308,166,419,176,205,338,301,370,357,287
ENSG00000280222,89,64,110,28,126,56,56,75,83,104,100,168
ENSG00000285945,0,0,0,2,6,8,1,3,0,6,1,3
ENSG00000197921,4,0,10,2,2,2,4,10,18,40,4,13
ENSG00000284666,1,0,2,2,0,0,2,0,0,3,0,4
ENSG00000228943,0,0,11,3,0,0,0,0,2,3,0,0
ENSG00000234397,0,2,10,2,0,0,2,4,0,2,0,2
ENSG00000204138,307,317,171,105,552,201,277,381,586,314,335,513
ENSG00000233419,0,0,0,10,0,0,0,0,0,8,0,5
ENSG00000225011,0,2,2,5,0,0,0,0,0,2,0,2
ENSG00000284676,0,2,13,8,2,0,0,0,0,18,0,1
ENSG00000090020,127,168,186,89,459,221,112,258,372,276,377,247
ENSG00000158006,58,61,69,32,97,43,29,91,109,102,59,99
ENSG00000214812,4,2,8,2,0,0,0,2,7,8,0,8
ENSG00000196581,1639,1639,722,388,2240,896,1254,2374,1085,327,1468,696
ENSG00000169403,42,31,58,51,88,26,24,57,118,78,32,169
ENSG00000171612,57,40,29,15,51,31,41,51,73,65,27,80
ENSG00000270927,0,0,3,2,0,0,0,2,0,3,0,3
ENSG00000188910,9,4,48,21,37,10,2,17,12,41,14,20
ENSG00000230523,14,5,40,26,24,13,0,4,9,29,3,16
ENSG00000158161,379,357,202,136,623,267,244,518,539,244,486,516
ENSG00000233234,0,0,3,7,0,0,0,0,0,12,0,0
ENSG00000189337,345,300,206,167,769,343,219,424,928,354,719,529
ENSG00000028137,121,113,134,52,226,103,82,166,159,255,69,400
ENSG00000283259,0,0,8,3,7,1,0,0,4,18,6,6
ENSG00000130939,1001,1084,408,218,1353,541,828,1432,1883,437,959,1041
ENSG00000175147,16,18,89,41,46,23,12,37,12,104,15,54
ENSG00000127472,24,12,52,24,27,7,6,25,22,76,4,37
ENSG00000060656,485,495,265,147,880,388,364,615,423,306,551,201
ENSG00000230214,0,0,9,13,2,0,0,0,0,9,0,9
ENSG00000189280,2,8,17,9,21,8,11,8,8,19,8,9
ENSG00000134698,298,307,145,103,503,190,241,454,608,258,356,531
ENSG00000272420,4,4,6,2,6,6,2,8,7,4,2,8
ENSG00000273274,100,122,83,48,91,49,51,115,93,70,40,127
ENSG00000236648,0,0,5,10,0,0,0,0,0,31,0,4
ENSG00000232273,2,4,16,2,2,0,0,2,4,26,0,10
ENSG00000130940,15,20,57,40,16,14,18,29,6,102,12,78
ENSG00000163879,227,211,62,55,342,131,168,213,130,146,143,438
ENSG00000227527,0,0,8,0,3,2,0,0,0,2,2,2
ENSG00000116954,129,170,33,15,96,40,116,169,161,58,50,117
ENSG00000163873,74,60,252,142,753,264,59,96,582,285,586,156
ENSG00000117215,6,0,33,13,0,2,0,0,0,47,4,16
ENSG00000230163,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227538,0,1,6,6,0,0,4,2,0,14,2,2
ENSG00000044012,0,0,9,6,0,0,0,0,1,16,0,5
ENSG00000179051,221,204,157,82,327,157,204,289,279,173,233,231
ENSG00000215895,2,2,15,20,12,10,0,4,5,23,2,12
ENSG00000126067,256,292,84,44,347,142,220,349,541,126,181,277
ENSG00000274944,6,8,0,0,14,4,5,6,11,1,6,5
ENSG00000272078,2,2,28,28,8,2,2,2,6,60,0,22
ENSG00000230451,1,0,2,6,0,0,0,1,0,5,0,2
ENSG00000231606,24,7,25,11,101,46,14,23,48,31,107,34
ENSG00000054118,849,820,344,211,1448,627,694,1319,1522,611,1119,1370
ENSG00000254553,0,0,1,0,1,0,0,0,2,0,0,2
ENSG00000284653,0,3,22,14,0,0,8,5,6,31,8,10
ENSG00000237749,0,0,0,0,2,0,0,1,0,4,0,2
ENSG00000276747,0,0,38,21,2,0,2,3,1,73,0,13
ENSG00000228776,0,0,3,5,0,0,0,0,0,1,0,2
ENSG00000159339,2,1,33,18,6,2,3,4,8,56,0,19
ENSG00000261781,0,1,21,14,2,6,0,4,6,26,11,9
ENSG00000158315,86,68,42,22,119,35,58,117,155,58,66,106
ENSG00000186973,4,10,10,7,2,0,2,6,5,26,0,15
ENSG00000146463,833,780,226,139,1102,404,566,1157,1137,322,710,782
ENSG00000142686,249,243,108,53,540,212,180,312,474,98,350,159
ENSG00000224751,2,2,13,19,3,2,4,4,6,33,8,9
ENSG00000117148,0,4,24,13,0,0,4,6,4,47,0,8
ENSG00000230585,4,2,29,9,28,12,6,18,12,28,21,28
ENSG00000117000,651,645,113,106,815,355,423,856,1107,214,614,622
ENSG00000284989,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231630,0,4,2,4,0,0,0,0,0,12,0,5
ENSG00000092853,34,35,82,69,73,22,33,33,39,107,26,57
ENSG00000255811,0,4,8,2,4,2,2,2,3,5,1,0
ENSG00000134697,135,154,80,62,286,120,115,193,235,127,162,207
ENSG00000187513,20,26,20,12,64,29,24,38,76,58,27,68
ENSG00000225671,0,0,0,0,4,0,0,0,3,6,0,4
ENSG00000116151,46,46,95,66,138,87,28,64,87,149,127,116
ENSG00000006555,4,0,39,38,24,4,6,11,24,74,6,40
ENSG00000236111,2,0,6,2,2,0,0,0,0,5,0,1
ENSG00000214114,248,182,52,33,204,63,137,200,254,38,163,159
ENSG00000116544,352,360,1011,568,1222,503,246,405,436,442,466,347
ENSG00000236723,4,2,1,0,1,2,1,2,1,1,6,6
ENSG00000232467,2,0,2,2,2,0,0,2,6,7,6,5
ENSG00000117016,210,215,204,112,3544,1331,166,343,1077,653,2886,383
ENSG00000163866,155,167,151,95,272,115,149,212,277,195,197,207
ENSG00000237130,4,4,5,8,2,2,6,4,19,7,12,11
ENSG00000232335,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232762,2,5,22,13,3,4,2,2,3,32,16,9
ENSG00000162384,167,172,109,50,255,120,138,209,265,159,135,243
ENSG00000162391,25,23,46,7,37,24,14,24,18,31,20,26
ENSG00000117859,554,621,150,78,605,234,451,840,1024,268,440,746
ENSG00000162396,29,18,42,20,56,12,18,44,49,49,20,20
ENSG00000284686,11,13,8,3,4,2,11,12,7,17,6,16
ENSG00000162378,1036,961,224,128,1095,428,794,1299,1621,251,656,707
ENSG00000259818,4,3,32,19,4,4,14,8,6,24,2,10
ENSG00000234318,0,0,4,0,2,2,0,0,4,2,2,8
ENSG00000227485,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236646,0,0,0,0,0,0,1,1,6,6,2,2
ENSG00000243725,21,20,21,9,32,12,10,23,18,36,20,34
ENSG00000171872,6,4,42,25,2,2,0,4,0,39,0,8
ENSG00000162407,599,520,195,102,612,256,435,738,751,1163,369,1566
ENSG00000163877,73,47,47,26,84,63,36,81,128,57,75,99
ENSG00000228929,12,12,4,0,21,4,3,20,22,15,14,39
ENSG00000224570,16,21,16,10,12,9,14,21,14,30,2,14
ENSG00000224980,0,1,4,2,0,0,0,0,1,0,0,2
ENSG00000278967,31,50,11,4,26,8,39,51,8,15,14,15
ENSG00000157184,80,88,75,40,113,57,87,103,108,134,63,107
ENSG00000198815,974,993,202,142,1429,623,802,1316,1591,352,873,815
ENSG00000134744,884,899,338,185,1135,482,634,1232,1340,465,797,1136
